Date,Adj Close,Close,High,Low,Open,Volume
10/06/2020,236.0193787,236.7299957,241.2100067,235.2799988,240.9600067,20720700
11/06/2020,223.7563019,224.4299927,232.8899994,223.5500031,229.9400024,26708200
12/06/2020,227.8938446,228.5800018,231.6600037,224.5,229.8999939,22091400
15/06/2020,231.8020782,232.5,233.7700043,224.8000031,225.0899963,15340300
16/06/2020,234.9426117,235.6499939,238.4600067,233,237.1399994,15236700
17/06/2020,234.8229675,235.5299988,237.5899963,231.7299957,235,19578100
18/06/2020,235.2317505,235.9400024,236.1399994,232.1499939,234.9900055,15782500
19/06/2020,238.0731812,238.7899933,240.8300018,235.5500031,237.7899933,30081300
22/06/2020,238.5018921,239.2200012,240.6999969,236.9100037,238.5599976,18917800
23/06/2020,241.5128326,242.2400055,245.1900024,239.8600006,241.2799988,24017900
24/06/2020,233.3175049,234.0200043,243.2200012,232.6799927,241.1999969,20834900
25/06/2020,234.9725189,235.6799927,237.3000031,232.7400055,234.6199951,18704300
26/06/2020,215.4313507,216.0800018,233.0899963,215.3999939,232.6399994,76343900
29/06/2020,219.9776764,220.6399994,220.75,207.1100006,209.75,58514300
30/06/2020,226.388382,227.0700073,227.5,218.4700012,220.5899963,33927100
01/07/2020,236.8368988,237.5500031,239,227.5599976,228.5,43399700
02/07/2020,232.7192993,233.4199982,240,232.6100006,239,30633600
06/07/2020,239.5587158,240.2799988,240.3999939,232.2700043,233.7599945,26206200
07/07/2020,240.1369934,240.8600006,247.6499939,238.8200073,239.4100037,27887800
08/07/2020,242.8488159,243.5800018,246.9900055,236.5899963,238.1100006,29791300
09/07/2020,243.7660522,244.5,246.5299988,239.2400055,245,22174900
10/07/2020,244.3343506,245.0700073,245.4900055,239.3200073,243.6900024,22982700
13/07/2020,238.2825623,239,250.1499939,238.4199982,247.0099945,24674900
14/07/2020,239.0103607,239.7299957,240.3300018,232.0299988,236.7599945,23378100
15/07/2020,239.5587158,240.2799988,244.8200073,238.0500031,241.5500031,19133600
16/07/2020,240.2067566,240.9299927,241.7599945,236.3300018,238,18880700
17/07/2020,241.3034668,242.0299988,244.1600037,237.8600006,241,18152400
20/07/2020,244.6832886,245.4199982,246.0500031,235.6399994,240.0599976,20872200
21/07/2020,241.0243073,241.75,246.9100037,240.0800018,246.2200012,19364200
22/07/2020,239.1499329,239.8699951,241.8999939,238.1199951,240.2599945,15427900
23/07/2020,231.9017944,232.6000061,242.4199982,231.75,239.6300049,21771800
24/07/2020,230.0174561,230.7100067,233.4900055,226.8999939,230.1900024,18325800
27/07/2020,232.799057,233.5,234.9499969,230.8300018,231.4600067,13163100
28/07/2020,229.4291992,230.1199951,234.9600067,229.8300018,234.6300049,14170100
29/07/2020,232.5896912,233.2899933,233.6999969,230.3099976,231.1399994,13588300
30/07/2020,233.7960663,234.5,234.8899994,229,230.2200012,20615300
31/07/2020,252.9085388,253.6699982,255.8500061,249,255.8200073,53005100
03/08/2020,251.2036591,251.9600067,255.3999939,250.3300018,252.6499939,23124900
04/08/2020,249.0800476,249.8300018,252.8000031,247.4299927,251.5599976,17183500
05/08/2020,248.3721771,249.1199951,252.2700043,247.7700043,250.1900024,13050100
06/08/2020,264.4836426,265.2799988,266.6000061,248.6699982,249.0399933,45241600
07/08/2020,267.6341858,268.4400024,278.8900146,263.4299927,264.0799866,72766400
10/08/2020,262.2105103,263,273.8599854,259.6900024,268.0400085,30248800
11/08/2020,255.361145,256.1300049,265.9200134,255.1300049,260.1900024,28238300
12/08/2020,259.1098938,259.8900146,263.8999939,258.1099854,258.9700012,21415700
13/08/2020,260.5155945,261.2999878,265.1600037,259.5700073,261.5499878,17374000
14/08/2020,260.45578,261.2399902,262.6499939,258.6799927,262.3099976,14792700
17/08/2020,260.3760376,261.1600037,264.1000061,259.3999939,262.5,13351100
18/08/2020,261.5524902,262.3399963,265.1499939,259.2600098,260.9500122,18690400
19/08/2020,261.8017273,262.5899963,267.9100037,261.3500061,261.3900146,23291500
20/08/2020,268.2024841,269.0100098,269.6300049,261.4599915,261.5,20299700
21/08/2020,266.2084656,267.0100098,270.4899902,266.4200134,268.6900024,15538600
24/08/2020,270.5753174,271.3900146,277.25,268.769989,271.0700073,23685600
25/08/2020,279.9770203,280.8200073,283.0899963,270.2600098,272.4100037,42127200
26/08/2020,302.9977112,303.9100037,304.6700134,284,284,69015200
27/08/2020,292.3398132,293.2200012,301.230011,292.019989,300.1600037,30301300
